Sarja;No;Rata-1;Rata-2;Rata-3;Rata-4
KEN;310;V11;V22;V33; 
KEN;311;V21;V32;V13; 
KEN;312;V31;V12;V23; 
KEN;313;V12;V21;V33; 
KEN;314;V22;V31;V13; 
KEN;315;V32;V11;V23; 
KEN;316;V11;V22;V33; 
KEN;317;V21;V32;V13; 
KEN;318;V31;V12;V23; 
KEN;319;V12;V21;V33; 
KEN;320;V22;V31;V13; 
KEN;610;V32;V11;V23; 
KEN;611;V11;V22;V33; 
KEN;612;V21;V32;V13; 
KEN;613;V31;V12;V23; 
KEN;614;V12;V21;V33; 
KEN;615;V22;V31;V13; 
KEN;616;V32;V11;V23; 
KEN;617;V11;V22;V33; 
KEN;618;V21;V32;V13; 
KEN;619;V31;V12;V23; 
KEN;620;V12;V21;V33; 
KEN;621;V22;V31;V13; 
KEN;622;V32;V11;V23; 
KEN;623;V11;V22;V33; 
KEN;624;V21;V32;V13; 
KEN;625;V31;V12;V23; 
KEN;626;V12;V21;V33; 
KEN;627;V22;V31;V13; 
KEN;628;V32;V11;V23; 
KEN;629;V11;V22;V33; 
KEN;630;V21;V32;V13; 
KEN;631;V31;V12;V23; 
KEN;632;V12;V21;V33; 
KEN;633;V22;V31;V13; 
KEN;634;V32;V11;V23; 
KEN;635;V11;V22;V33; 
KEN;636;V21;V32;V13; 
KEN;637;V31;V12;V23; 
KEN;638;V12;V21;V33; 
KEN;639;V22;V31;V13; 
KEN;640;V32;V11;V23; 
KEN;641;V11;V22;V33; 
KEN;642;V21;V32;V13; 
KEN;643;V31;V12;V23; 
KEN;644;V12;V21;V33; 
KEN;645;V22;V31;V13; 
KEN;646;V32;V11;V23; 
KEN;647;V11;V22;V33; 
KEN;648;V21;V32;V13; 
KEN;649;V31;V12;V23; 
KEN;650;V12;V21;V33; 
KEN;651;V22;V31;V13; 
KEN;652;V32;V11;V23; 
KEN;653;V11;V22;V33; 
KEN;654;V21;V32;V13; 
KEN;655;V31;V12;V23; 
KEN;656;V12;V21;V33; 
KEN;657;V22;V31;V13; 
KEN;658;V32;V11;V23; 
