No;Sarja;Rata-1;Rata-2;Rata-3;Rata-4
310;KEN;V11;V22;V33; 
311;KEN;V21;V32;V13; 
312;KEN;V31;V12;V23; 
313;KEN;V12;V21;V33; 
314;KEN;V22;V31;V13; 
315;KEN;V32;V11;V23; 
316;KEN;V11;V22;V33; 
317;KEN;V21;V32;V13; 
318;KEN;V31;V12;V23; 
319;KEN;V12;V21;V33; 
320;KEN;V22;V31;V13; 
610;KEN;V32;V11;V23; 
611;KEN;V11;V22;V33; 
612;KEN;V21;V32;V13; 
613;KEN;V31;V12;V23; 
614;KEN;V12;V21;V33; 
615;KEN;V22;V31;V13; 
616;KEN;V32;V11;V23; 
617;KEN;V11;V22;V33; 
618;KEN;V21;V32;V13; 
619;KEN;V31;V12;V23; 
620;KEN;V12;V21;V33; 
621;KEN;V22;V31;V13; 
622;KEN;V32;V11;V23; 
623;KEN;V11;V22;V33; 
624;KEN;V21;V32;V13; 
625;KEN;V31;V12;V23; 
626;KEN;V12;V21;V33; 
627;KEN;V22;V31;V13; 
628;KEN;V32;V11;V23; 
629;KEN;V11;V22;V33; 
630;KEN;V21;V32;V13; 
631;KEN;V31;V12;V23; 
632;KEN;V12;V21;V33; 
633;KEN;V22;V31;V13; 
634;KEN;V32;V11;V23; 
635;KEN;V11;V22;V33; 
636;KEN;V21;V32;V13; 
637;KEN;V31;V12;V23; 
638;KEN;V12;V21;V33; 
639;KEN;V22;V31;V13; 
640;KEN;V32;V11;V23; 
641;KEN;V11;V22;V33; 
642;KEN;V21;V32;V13; 
643;KEN;V31;V12;V23; 
644;KEN;V12;V21;V33; 
645;KEN;V22;V31;V13; 
646;KEN;V32;V11;V23; 
647;KEN;V11;V22;V33; 
648;KEN;V21;V32;V13; 
649;KEN;V31;V12;V23; 
650;KEN;V12;V21;V33; 
651;KEN;V22;V31;V13; 
652;KEN;V32;V11;V23; 
653;KEN;V11;V22;V33; 
654;KEN;V21;V32;V13; 
655;KEN;V31;V12;V23; 
656;KEN;V12;V21;V33; 
657;KEN;V22;V31;V13; 
658;KEN;V32;V11;V23; 
